Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""297.23/08",سلسلة الأحاديث الصحيحة وشيء من فقهها وفوائدها. المجلد الأول: 301-400,"الألباني, محمد ناصر الدين",,منشورات المكتب الإسلامي,,141,الحديث : تفسير,523
"""297.23/58",صحيح الكلم الطيب لشيخ الإسلام ابن تيمية,"الألباني, محمد ناصر الدين",بيروت,المكتب الإسلامي,,96,الحديت : تفسير,4675
"""297.425/02",التوسل وأنواعه وأحكامه,"الألباني, محمد ناصر الدين",بيروت,المكتب الإسلامي,1983.0,175,الأدعية والأذكار,17357
"""52/01",أكاديمية المملكة المغربية,الإلتزمات الخلقية والساسية في غزو الفضاء,الدارالبيضاء,,1984.0,364,علم الفلك,17749
"""297.125/47",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الثاني,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,218,القرآن : تفسير,5057
"""297.125/48",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الثالث,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,212,القرآن : تفسير,5058
"""297.125/49",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الرابع,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,266,القرآن : تفسير,5059
"""297.125/50",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الخامس,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,348,القرآن : تفسير,5060
"""297.125/51",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد السادس,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,260,القرآن : تفسير,5061
"""297.125/52",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد السابع,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,188,القرآن : تفسير,5062
"""297.125/53",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الثامن,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,135,القرآن : تفسير,5063
"""297.125/54",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد التاسع,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,200,القرآن : تفسير,5064
"""297.125/55",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد العاشر,"الألوسي, أبو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,376,القرآن : تفسير,5065
"""297.125/46",روح المعاني في تفسير القرآن العظيم والسبع المثاني. المجلد الأول,"الألوسي, ابو الفضل شهاب الدين السيد محمود",بيروت,دار الفكر العربي,1978.0,229,القرآن : تفسير,5056
"""1:297/18",حوار بين الفلاسفة والمتكلمين,"الألوسي, حسام الدين",بيروت,المؤسسة العربية,1980.0,247,فلسفة إسلامية,10006
"""19/01",الزمان في الفكر الديني والفلسفي القديم,"الألوسي, حسام الدين",بيروت,المؤسسة العربية للدراسات والنشر,1980.0,207,تاريخ الفلسفة: الزمان,10292
"""19/01 مكرر",الزمان في الفكر الديني والفلسفي القديم,"الألوسي, حسام الدين",بيروت,المؤسسة العربية للدراسات والنشر,1980.0,207,تاريخ الفلسفة: الزمان,19740
"""183/01",بواكير الفلسفة قبل طاليس أو من الميثولوجيا إلى الفلسفة عند اليونان,"الألوسي, حسام محيى الدين",بيروت,المؤسسة العربية للدراسة والنشر,1981.0,319,الفلسفة اليونانية,10007
"""396/23",المرأة و التطور السياسي في المجتمع المعاصر في البلدان النامية,"الألوسي, منال يونس عبد الرزاق",بغداد,الدار العربية للطباعة,1985.0,153,المرأة,17806
"""330.11/19",مستقبل التنمية العربية والعمل الإقتصادي العربي المشترك,"الإمام, محمد محمود",الكويت,المعهد العربي للتخطيط,1993.0,375,الظواهر والأهداف الإقتصادية,26562
"""330.191.6/47",إتفاقيةصندوق النقد العربي: دراسة توثيقيةتحليلة,"الإمام, محمد محمود",,صندوق النقد الدولي,1981.0,308,الإقتصاد العالمي,17864
"""3/11",الخدمة الإجتماعية في الوطن العربي بين الأصالة والتقليد,الأمانة العامة للإتحاد العربي للإخصائيين الإجتماعيين,بنغازي,الإتحاد العربي للإخصائيين الإجتماعيين,1983.0,136,العلوم الإجتماعية,18035
"""378/33",دراسة واقع التعليم العالي المتوسط الفني والمهني بالدول الأعضاء بمكتب التربية العربي لدول الخليج,الأمانة العامة للإتحاد العربي للتعليم التقني,الرياض,مكتب التربية العربي لدول الخليج,1988.0,216,التعليم العالي: التعليم التقني,18067
"""330.191.6/53 ج1",صندوق النقد العربي: محاضر الاجتماعات والاعمال التمهيدية للإتفاقية. الجزء الأول 1977,الأمانة العامة لمجلس الوحدة الإقتصادية العربية,أبو ظبي,صندوق النقد العربي,1977.0,708,الاقتصاد العالمي,15240
"""82.091/25",الموازنة بين أبي تمام حبيب بن أوس الطائي وأبي عبادة الوليد بن عبيد البحتري الطائي,"الأمدي, أبو القاسم الحسن بن بشر",بيروت,دار المسيرة,,445,دراسة أدبية مقارتة,7943
"""61/17",مطبعة عصام,الأمراض المشتركة بين الإنسان والحيوان,بغداد,,1985.0,440,الطب,14804
"""82-1_حد/50",الأدب والبناء الحضاري,"الأمراني, حسن",وجدة,منشورات كلية الآداب,2000.0,253,الآداب الحديث,28491
"""341/16 مجلد15",حولية الأمم المتحدة لنزع السلاح,الأمم المتحدة,نيويورك,هيئة الأمم المتحدة,1990.0,544,القانون الدولي,27320
"""341/16 مجلد18",حولية الأمم المتحدة لنزع السلاح,الأمم المتحدة,نيويورك,هيئة الأمم المتحدة,1993.0,546,القانون الدولي,3875
"""341/16 مجلد19",حولية الأمم المتحدة لنزع السلاح,الأمم المتحدة,نيويورك,هيئة الأمم المتحدة,1994.0,476,القانون الدولي,27321
"""342.7/09",حقوق الإنسان : مجموعة هكوك الدولية,الأمم المتحدة,تيويورك,المم المتحدة,1988.0,388,الحقوق الإنسانية,21355
"""61/12",الأمم المتحدة,الأمم المتحدة ومكافحة اساءة استعمال المخدرات,نيويورك,,1976.0,66,الطب,12527
"""531/01",تحريك الجسم الصلب ( الميكانيك 6 ),الأمير زيد,حلب,مديرية الكتب والمطبوعات الجامعية,1991.0,241,الميكانيك,24562
"""297.413/06 م1",سبل السلام شرح بلوغ المرام: من أدلة الأحكام وهو شرح على متن بلوغ المرام من أدلة الأحكام لابن حجر العسقلاني. ويليه نخبة الفكر في مصطلح أهل الأثر,"الأمير, محمد بن إسماعيل الكحلاني الصنعاني",بيروت,دار الفكر,,440,الحديث: تفسير,17315
"""297.413/06 م2","سبل السلام شرح بلوغ المرام: من أدلة الأحكام, وهو شرح على متن بلوغ المرام من أدلة الأحكام لابن حجر العسقلاني ويليه نخبة الفكر في مصطلح أهل الأثر","الأمير, محمد بن إسماعيل الكحلاني الصنعاني",بيروت,دار الفكر,,512,الحديث: تفسير,17316
"""297.23/25","سبل السلام شرح بلوغ المرام : من أدلة الأحكام, وهو شرح على متن البلوغ المرام من أدلة الأحكام لابن حجر العسقلاني. ويليه نخبة الفكر في مصطلح أهل. الجزء الأول والثاني","الأمير, محمد بن اسماعيل الكحلاني الصنعاني",بيروت,دار الفكر,,440,الحديث : تفسير,4806
"""297.23/26","سبل السلام شرح بلوغ المرام : من أدلة الأحكام, وهو شرح على متن بلوغ المرام من أدلة الأحكام لابن حجر العسقلاني ويليه نخبة الفكر في مصطلح أهل الأثر. الجزء الثالث والرابع","الأمير, محمد بن اسماعيل الكحلاني الصنعاني",بيروت,دار الفكر,,512,الحديث : تفسير,4807
"""297.95/08",الإسلام وأزمة الحضارة الإنسانية المعاصرة في ضوء الفقه الحضاري,"الأميري, عمر بهاء الدين",الدوحة,مؤسسة الشرق,1983.0,54,الإسلام والقضايا العالمية المعاصرة : الحضارة المعاصرة,13468
"""297.1/06",ألوان من الإعجاز القرآني,"الأميري, محمد وفا",حلب,دار الرضوان,,94,القرآن,400
"""297.125/03",الإشارات العلمية في القرآن الكريم,"الأميري, محمد وفا",الإسكندرية,دار الرضوان,,127,القرآن : تفسير,399
"""297.3/15 ج1","آيات الله تعالى: "" سنريهم آياتنا في الأفاق وفي أنفسهم حتى يتبين لهم أنه الحق ولم يكف بربك أنه على كل شيئ شهيد""","الأميري, محمد وفا",حلب,دار الرضوان,,456,التوحيد والإيمان,401
"""297.3/15 ج2","آيات الله تعالى:""سنريهم آياتنا في الأفاق وفي أنفسهم حتى يتبين لهم أنه الحق ولم يكف بربك أنه على كل شيئ شهيد""","الأميري, محمد وفا",حلب,دار الرضوان,,320,التوحيد والإيمان,402
"""330.191.6/53 ج2",صندوق النقد العربي: محاضر الإجتماعات والأعمال التمهيدية للإتفاقية,الأنانة العامة لمجلس الوحدة الإقتصادية العربية,,الأمانة العامة لمجلس الوحدة الإقتصادية العربية,1977.0,421,الإقتصاد العالمي,15421
"""801.5/16",الأضداد,"الأنباري, محمد بن القاسم",بيروت,المكتبة العصرية,1987.0,428,البلاغة العربية,18798
"""93_468.1/02",ناصر الدين على القوم الكافرين,"الأندلسي, أحمد ابن قاسم الحجري",البيضاء,مطبعة النجاح الجديدة,1987.0,151,تاريخ الأندلس,18517
"""930/03",طبقات الأمم,"الأندلسي, صاعد",بيروت,دار الطليعة للطباعة والنشر,1985.0,216,علم التاريخ,15707
"""801.2/01",شرح شدور الذهب في معرفة كلام العرب,"الأنصاري, جمال الدين بن هشام",,,,480,كلام العرب,2520
"""801.56/18",مغني اللبيب عن كتب الأعاريب,"الأنصاري, جمال الدين بن هشام",بيروت,دار الفكر,1979.0,1016,النحو العربي,9566
"""297.3/17 ج1-2",الرسالة القشيرية وبهامشه الشرح المذكور,"الأنصاري, زكريا",دمشق,جامع الدرويشية,,420,التوحيد والإيمان,4897
"""297.3/17 ج3-4",الرسالة القشيرية وبهامشه الشرح المذكور,"الأنصاري, زكريا",دمشق,جامع الدرويشية,,485,التوحيد والإيمان,4898
"""91/15",الجغرافيا الاجتماعية,"الأنصاري, فاضل",دمشق,مطبعة جامعة دمشق,1991.0,592,الجغرافية,24407
"""911.3:312/09",جغرافية السكان,"الأنصاري, فاضل",جامعة دمشق,المطبعة الجديدة,1986.0,470,جغرافية السكان,24377
"""631/20",مبادئ المحاصيل الحقلية,"الأنصاري, مجيد محسن",بغداد,وزارة التعليم العالي والبحث العلمي,1980.0,280,الهندسة الزراعية,6100
"""801.56/78 ج1",المحيط في أصوات العربية ونحوها وصرفها,"الأنطاكي, محمد",بيروت,دار الشرق العربي,,364,النحو العربي,23999
"""801.56/79 ج2",المحيط في أصوات العربية ونحوها وصرفها,"الأنطاكي, محمد",بيروت,دار الشرق العربي,,366,النحو العربي,24000
"""801.56/80 ج3",المحيط في أصوات العربية ونحوها وصرفها,"الأنطاكي, محمد",بيروت,دار الشرق العربي,,495,النحو العربي,24001
"""297.914/06",التربية في الإسلام,"الأهواني, أحمد فؤاد",القاهرة,دار المعارف,1980.0,376,الإسلام وعلوم التربية,10606
"""165/22",إكتساب اللغة في الفكر العربي القديم,"الأوراغي, محمد",,دار الكلام للنشر والتوزيع,1990.0,318,فلسفة المعرفة: تعلم اللغة واكتسابها,23421
"""82-1_جا/02",عناصر الوحدة والربط في الشعر الجاهلي,"الأيوبي, سعيد",الرباط,مكتبة المعارف للنشر والتوزيع,1986.0,542,الأدب الجاهلي,16755
"""82-1_جا/02 مكرر",عناصر الوحدة والربط في الشعر الجاهلي,"الأيوبي, سعيد",الرباط,مكتبة المعارف,1986.0,558,الأدب الجاهلي,19716
"""297/68",الإسلام والتمييز العنصري,"الأيوبي, صلاح الدين",بيروت,دار الأندلس,1972.0,237,الإسلام,4585
"""82.0/03","مذاهب الأدب: معالم وانعكاسات, الكلاسيكية, الرومنطقية, الواقعية.","الأيوبي, ياسين",بيروت,دار العلم للملايين,1984.0,382,نظريات الأدب,17307
"""327/30",الدول الصغيرة والنظام الدولي : الكويت والخليج,"الابراهيم, حسن علي",بيروت,مؤسسة الابحاث العربية,1982.0,200,العلاقات السياسيةة الدولية,23275
"""07/14 مكرر",مشاكل الصحفيات العربيات: وثائق الحلقة الدراسية الأولى,الاتحاد العام للصحفيين العرب,بيروت,فانا,1981.0,94,الصحافة,28034
"""82-31/76",المغتربون,"الاحسايني, محمد",الدار البيضاء,دار النشر المغربية,1974.0,159,الرواية,5207
"""30/35",ميادين علم الاجتماع,"الاخرس, محمد صفوح",دمشق,المطبعة الجديدة,1982.0,387,علم الاجتماع,24684
"""341_297/01",الشرع الدولي في الاسلام,"الارمنازي, نجيب",لندن,رياض الرئيس للكتب والنشر,1990.0,230,القانون الدولي,23285
930.85/28,دراسات في التاريخ الحضاري للإسلام في البلقان,"الارنالارناؤوط, محمد. م",دبي,منشورات مؤسسة التميمي للبحث العلمي والمعلومات,1996.0,166,تاريخ الحضارة,1
"""51/16",الرياضيات (5): التوابيع الخاصة. تحويل لابلاس,"الاسدي, شحادة",حلب,مديرية الكتب والمطبوعات الجامعية,1984.0,354,الرياضيات,24952
"""517/04",أسس التحليل العقدي: تحليل (2),"الاسدي, شحادة",سوريا,جامعة حلب,1989.0,256,التحليل,25561
"""091:61/01 ج1",كتاب الأغدية,"الاسرائيلي, إسحاق بن سليمان",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,405,مخطوطات: الأغدية والأدوية,17948
"""091:61/01 ج2",كتاب الأغدية,"الاسرائيلي, إسحاق بن سليمان",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,289,مخطوطات: الأغدية والأدوية,17949
"""091:61/01 ج3-4",كتاب الأغدية,"الاسرائيلي, إسحاق بن سليمان",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,235,مخطوطات: الأغدية والأودية,17934
"""82.09/69","بحثا عن الحداثة, نقد الوعي النقدي في تجربة الشعر العربي المعاصر","الاسعد, محمد",بيروت,مؤسسة الابحاث العربية,1986.0,135,النقد الأدبي,18553
"""33/58",الاقتصاد والتشريع,"الاسود, فريد",حلب,جامعة حلب,1981.0,404,الاقتصاد السياسي,25377
"""33/59",محاضرات في الاقتصاد العام,"الاشرم, محمود",حلب,جامعة حلب,1982.0,262,الاقتصاد السياسي,25707
"""30/16",عملية التحضير المعاصرة وأثارها على المرأة والأسرة في دولة الامارات العربية المتحدة,"الاشعب, خالص",العراق,الاتحاد العام لنساء العراق,,22,علم الاجتماع,12625
"""330.11/11",الاقتصاد الرياضي,"الاشقر, أحمد",حلب,جامعة حلب,1983.0,441,الظواهر والاهداف الاقتصادية,25535
"""62-34/03",التحكم الآلي,"الاشهب, مطاع",دمشق,جامعة دمشق,1988.0,308,الهندسة الميكانيكية : التحكم الآلي,26177
"""949.6/03",تاريخ دولة آل سلجوق,"الاصفهاني, محمد بن محمد بن حامد",بيروت,دار الآفاق الجديدة,1978.0,278,تاريخ تركيا,7026
"""681.3/09",اتحاد مجالس البحث العلمي العربية,الاعلام العلمي والنقل الافقي للتكنولوجيا,بغداد,,1982.0,162,إعلاميات,12478
"""93:297/98",عائشة والسياسة,"الافغاني, سعيد",بيروت,دار الفكر,1971.0,398,تاريخ الإسلام,4702
"""336.126/28",الرياضيات المالية,"الافندي, عبد القادر",حلب,جامعة حلب,1978.0,555,المحاسبة العمومية,25568
"""336.126/28 مكرر",الرياضيات المالية,"الافندي, عبد القادر",حلب,جامعة حلب,1978.0,555,المحاسبة العمومية,25529
"""368/01",رياضيات التأمين,"الافندي, عبد القادر",حلب,جامعة حلب,1982.0,686,التأمين,25605
"""616-053.2/01",الوجيز في أمراض الأطفال,"الاكتع, عبد الرحمن",حلب,جامعة حلب,1990.0,327,طب الأطفال,24854
"""1:297/118",جامعة قطر,الامام الغزالي,قطر,,1986.0,493,فلسفة إسلامية,17742
"""1:297/118 مكرر",جامعة قطر,الامام الغزالي,,,1986.0,493,فلسفة إسلامية,17741
"""33/47",مؤسسة سجل العرب,الامم الغنية والامم الفقيرة في إقتصاد العالم,بيروت,,1983.0,326,الاقتصاد السياسي,12915
"""341.1/01",,الامم المتحدة ونزع السلاح,نيويورك,,1988.0,143,المنظمات الدولية,18887
"""531.3/04 ج5",تحريك المجموعات المادية,"الامير, زيد",سوريا,جامعة حلب,1991.0,317,الميكانيك الديناميك,26233
"""531/12 ج6",تحريك الجسم الصلب,"الامير, زيد",سوريا,جامعة حلب,1991.0,462,الميكانيك,26160
"""34.038/01",تاريخ قضاة الاندلس: كتاب المراقبة العليا في من يستحق القضاء والفتيا,"الاندلسي, أبو الحسن",بيروت,لبنان المكتب التجاري,,252,القضاء,5095
"""327/33",العالم والعرب سنة 2000,"الانصار, محمد جابر",بيروت,دار الاداب,1988.0,183,العلاقات السياسية الدولية,23356
"""297.16/01",كتاب العنوان في القراءات السبع,"الانصاري الاندلسي, أبو طاهر إسماعيل بن خلف المقرئ",بيروت,عالم الكتب,1986.0,221,القرآن : القراءة,18417
"""962/23",موسوعة حكام مصر من الفراعنة إلى اليوم مع صورهم وأعلامهم ورمزهم,"الانصاري, ناصر",بيروت,دار الشروق,1989.0,2276,تاريخ مصر,23360
"""33/15",قضايا التخلف والتنمية في العالم الثالث : في المنهج,"البابا, طلال",بيروت,دار الطليعة,1981.0,152,الاقتصاد السياسي,9512
"""011/20",إيضاح المكنون في الذيل على كشف الظنون عن أسامي الكتب والفنون,"الباباني, إسماعيل باشا",بيروت,مكتبة المثنى,,620,بيبليوغرافيا,4995
"""011/22",هدية العارفين أسماء المؤلفين وآثار المصنفين,"الباباني, إسماعيل باشا",بيروث,مكتبة المثنى,1955.0,842,بيبليوغرافيا,4997
"""011/23",هدية العارفين أسماء المؤلفين وآثار المصنفين,"الباباني, إسماعيل باشا",بيروت,مكتبة المثنى,,116,بيبليوغرافيا,4998
"""011/21",إيضاح المكنون في الذيل على كشف الظنون عن أسامي الكتب والفنون,"الباباني, اسماعيل باشا",بيروت,مكتبة المثنى,1951.0,732,بيبليوغرافيا,4996
"""297.423/01",شهر رمضان,"الباجا, يوسف",,,,128,الصوم,4772
"""297.217/01",المنتقى شرح موطأ الإمام مالك. الجزء الأول,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,371,موطأ الامام مالك,4878
"""297.217/02",المنتقى شرح موطأ الامام مالك. الجزء الثاني,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,319,موطأ الامام مالك,4879
"""297.217/03",المنتقى شرح موطأ الامام مالك. الجزء الثالث,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,360,موطأ الامام مالك,4880
"""297.217/04",المنتقى شرح موطأ الامام مالك. الجزء الرابع,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,308,موطأ الامام مالك,4881
"""297.217/05",المنتقى شرح موطأ الإمام مالك. الجزء الخامس,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,290,موطأ الامام مالك,4882
"""297.217/06",المنتقى شرح موطأ الامام مالك. الجزء السادس,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,291,موطأ الامام مالك,4883
"""297.217/07",المنتقى شرح موطأ الإمام مالك. الجزء السابع,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الكتاب اللبناني,,334,موطأ الامام مالك,4884
"""297.41/14",إحكام الفصول في أحكام الأصول,"الباجي, أبو الوليد سليمان بن خلف",بيروت,دار الغرب الإسلامي,1986.0,970,اصول الفقه,20307
"""964/148",المقصد الشريف والمنزع اللطيف في التعريف بصلحاء الريف,"البادسي, عبد الحق بن اسماعيل",الرباط,المطبعة الملكية,1982.0,151,تاريخ المغرب,22695
"""618.99/02","المخدرات: الحطر الداهم: ا"" الأفيون ومشتقاته","البار, محمد علي",دمشق,دار القلم,1988.0,452,المخدرات,23279
"""615/11",المراقبة الدوائية للقسم النظري,"البارد, ماء عبد الغني",دمشق,منشورات جامعة دمشق,1992.0,240,الصيدلة,24452
"""347.7/01",القانون التجاري,"البارودي, علي",الاسكندرية,منشأة المعارف بالاسكندرية,1975.0,451,القانون التجاري,9659
"""347.7/02",القانون التجاري العقود وعمليات البنوك التجارية,"البارودي, علي",القاهرة,الدار الجامعية,1986.0,405,القانون التجاري,18536
"""331/23",التأمينات الإجتماعية ونظامها في المملكة العربية السعودية,"الباشا, محمد فاروق",الرياض,التأمينات الإجتماعية ونظامها في المملكة العربية السعودية,1996.0,440,القانون الإجتماعي,3921
"""331/23 مكرر",التأمينات الإجتماعية ونظامها في المملكة العربية السعودية,"الباشا, محمد فاروق",الرياض,التأمينات الإجتماعية ونظامها في المملكة العربية السعودية,1996.0,440,القانون الإجتماعي,3920
"""61/33",علم الأمراض,"الباشا, وائل عبد المولى",دمشق,جامعة دمشق,1991.0,166,الطب,25111
"""091:297/02 م1",الإنتصار للقرآن,"الباقلاني, أبو بكر محمد بن الطيب",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,603,مخطوطات: الإسلام,17990
"""297.126/02",إعجاز القرآن,"الباقلاني, أبو بكر محمد بن الطيب",القاهرة,دار المعارف,,393,القرآن : توضيح البيان,607
"""297.126/06",إعجاز القرآن,"الباقلاني, أبو بكر محمد بن الطيب",القاهرة,دار المعارف,1977.0,393,القرآن : توضيح البيان,4653
"""547/45",المدخل الى الكيمياء العضوية,"البان, احمد نور الدين قضيب",حلب,مديرية الكتب والمطبوعات الجامعية,1989.0,455,الكيمياء العضوية,24737
"""297.432.2/05 مكرر",الدين والدولة (من توجيه القرآن الكريم),"الباهي, محمد",بيروت,دار الفكر,1971.0,616,الإسلام والدولة,4802
"""33/13",أصول الاقتصاد السياسي,"الببلاوي, حازم",الاسكندرية,منشأة المعارف,1975.0,758,الاقتصاد السياسي,9646
"""58/04",البيئة وحياة النبات في دولة قطر,"البتانوني, كمال الدين حسن",,مطابع الدوحة,1986.0,414,علو النبات,17789
"""340.11/12",التحكيم في المملكة العربية السعودية,"البجاد, محمد بن ناصر بن محمد",الرياض,معهد الإدارة العامة,1999.0,250,نظرية الحق,28631
"""327/38",دول الخليج العربي الحديثة,"البحارنة, حسين محمد",بيروت,"شركة التنمية والتطوير ""بروديكو""",1973.0,423,العلاقات السياسية الدولية,6239
"""964/229",منشورات كلية الآداب والعلوم الانسانية,البحث في تاريخ المغرب: حصيلة وتقويم,الرباط,,1989.0,282,تاريخ المغرب,29167
"""892-4/01","الادب الصهيوني بين حربين, حزيران 1967 تشرين 1973","البحراوي, ابراهيم",سوريا,المؤسسة العربية للدراسات والنشر,1977.0,235,الادب الصهيوني,23211
"""297.211/15",صحيح البخاري. المجلد الأول,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار الفكر,1981.0,490,حديث البخاري,10877
"""297.211/16",صحيح البخاري. المجلد الثاني,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار الفكر,1981.0,508,حديث البخاري,10878
"""297.211/17",صحيح البخاري. المجلد الثالث,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار الفكر,1981.0,498,حديث البخاري,10879
"""297.211/18",صحيح البخاري. المجلد الرابع,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار الفكر,1981.0,460,حديث البخاري,10880
"""297.211/19",البخاري مشكول بحاشية السندي. المجلد الأول,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار المعرفة,,350,حديث البخاري,4143
"""297.211/20",البخاري مشكول بحاشية السندي. المجلد الثاني,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروث,دار المعرفة,,343,حديث البخاري,4144
"""297.211/21",البخاري مشكول بحاشية السندي. المجلد الثالث,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار المعرفة,,330,حديث البخاري,4145
"""297.211/22",البخاري مشكول بحاشية السندي. المجلد الرابع,"البخاري, أبو عبد الله محمد بن إسماعيل",بيروت,دار المعرفة,,312,حديث البخاري,4146
"""297.211/03",عمدة القارئ : شرح صحيح البخاري. المجلد الأول,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,646,حديت البخاري,457
"""297.211/04",عمدة القارئ : شرح صحيح البخاري. المجلد التاني,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,646,حديث البخاري,458
"""297.211/06",عمدة القارئ : شرح صحيح البخاري. المجلد الرابع,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,648,حديث البخاري,460
"""297.211/07",عمدة القارئ : شرح صحيح البخاري. المجلد الخامس,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,620,حديث البخاري,461
"""297.211/09",عمدة القارئ : شرح صحيح البخاري. المجلد السابع,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,632,حديث البخاري,463
"""297.211/10",عمدة القارئ : شرح صحيح البخاري. المجلد الثامن,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,640,حديث البخاري,464
"""297.211/11",عمدة القارئ : شرح صحيح البخاري. المجلد التاسع,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,640,حديث البخاري,465
"""297.211/12",عمدة القارئ : شرح صحيح البخاري. المجلد العاشر,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,640,حديث البخاري,466
"""297.211/13",عمدة القارئ : شرح صحيح البخاري. المجلد الحادي عشر,"البدر العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,640,حديث البخاري,467
"""297.211/08",عمدة القارئ : شرح صحيح البخاري. المجلد السادس,"البدر العيني, بدرالدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,616,حديث البخاري,462
"""297.432.2/04",الإسلام بين العلماء و الحكام,"البدري, عبد العزيز",المدينة المنورة,المكتبة العلمية,1966.0,254,الإسلام و الدولة,4618
"""621.38/23","هندسة الكترونية""2""","البدوية, عبد الرزاق",دمشق,مطبعة خالد بن الوليد,1989.0,733,الإلكترونيات,26296
"""911.3:33/02 مكرر",الجغرافية الزراعية,"البرازي, نوري خليل",بيروت,دار الكتب,1980.0,383,الجغرافية الإقتصادية,6127
"""92/78",فتح الشكور في معرفة أعيان علماء التكرور,"البرتلي الولاتي, أبو عبد الله الطالب محمد",بيروت,دار الغرب الاسلامي,1981.0,299,بيوغرافيا,7605
"""37:297/04",التوجيه الاسلامي للنشىء في فلسفة الغزالي,"البرجس, عارف مفضي",بيروت,دار الاندلس للطباعة والنشر,1981.0,192,تاريخ التربية والتعليم الإسلامي,9559
"""82-91/09",فنون الأدب الشعبي في اليمن,"البردوني, عبد الله",بيروت,دار الحداثة,1988.0,578,الأدب الشعبي,18459
"""297.23/75",كتاب الأربعين الطبية المستخرجة من سنن ابن ماجة وشرحها للعلامة الحكيم عبد اللطيف البغدادي,"البرزاني, أبو عبد الله محمد بن يوسف",الرباط,وزارة الأوقاف والشؤون الإسلامية مديرية الشؤون الإسلامية,1979.0,65,الحديث: تفسير,12288
"""297.126/07",تفسير روح البيان. المجلد الأول,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,450,القرآن : توضيح البيان,4983
"""297.126/08",تفسير روح البيان. المجلد الثاني,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,468,القرآن>: توضيح البيان,4984
"""297.126/09",تفسير روح البيان. المجلد الثالث,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,549,القرآن : توضيح البيان,4985
